price,timestamp,lastupdateid,pricechange,pricechangepercent,weightedavgprice,prevcloseprice,lastprice,lastqty,bidprice,bidqty,askprice,askqty,openprice,highprice,lowprice,volume,quotevolume
57425.99,2024-08-08 03:14:36.958821,50038473360,626.50000000,1.10300000,56240.64029231,56809.37000000,57435.87000000,0.00110000,57435.86000000,7.33570000,57435.87000000,0.59538000,56809.37000000,57736.05000000,54558.62000000,45897.97263000,2581331368.82994600
57421.99,2024-08-08 03:15:07.397257,50038494631,617.99000000,1.08800000,56240.91304698,56804.01000000,57421.99000000,0.00244000,57421.99000000,4.24681000,57422.00000000,0.08000000,56804.00000000,57736.05000000,54558.62000000,45907.02690000,2581853108.12821250
57470.25,2024-08-08 03:19:30.801935,50038681228,806.19000000,1.42300000,56243.82990225,56663.66000000,57469.86000000,0.00030000,57469.86000000,2.81687000,57469.87000000,1.81237000,56663.67000000,57736.05000000,54558.62000000,45951.05773000,2584463474.79438830
57465.99,2024-08-08 03:19:33.631551,50038681228,806.19000000,1.42300000,56243.82990225,56663.66000000,57469.86000000,0.00030000,57469.86000000,2.81687000,57469.87000000,1.81237000,56663.67000000,57736.05000000,54558.62000000,45951.05773000,2584463474.79438830
57399.98,2024-08-08 03:20:10.83789,50038708653,717.98000000,1.26700000,56243.90047540,56682.00000000,57399.98000000,0.00037000,57399.97000000,2.91938000,57399.98000000,0.44969000,56682.00000000,57736.05000000,54558.62000000,45946.95421000,2584235919.73513750
57504.0,2024-08-08 03:25:07.612445,50038880174,772.00000000,1.36100000,56244.58343261,56732.01000000,57504.00000000,0.19116000,57503.99000000,3.25055000,57504.00000000,1.51646000,56732.00000000,57736.05000000,54558.62000000,45925.43065000,2583056715.87246300
57425.99,2024-08-08 03:14:36.958821,50038473360,626.50000000,1.10300000,56240.64029231,56809.37000000,57435.87000000,0.00110000,57435.86000000,7.33570000,57435.87000000,0.59538000,56809.37000000,57736.05000000,54558.62000000,45897.97263000,2581331368.82994600
57421.99,2024-08-08 03:15:07.397257,50038494631,617.99000000,1.08800000,56240.91304698,56804.01000000,57421.99000000,0.00244000,57421.99000000,4.24681000,57422.00000000,0.08000000,56804.00000000,57736.05000000,54558.62000000,45907.02690000,2581853108.12821250
57470.25,2024-08-08 03:19:30.801935,50038681228,806.19000000,1.42300000,56243.82990225,56663.66000000,57469.86000000,0.00030000,57469.86000000,2.81687000,57469.87000000,1.81237000,56663.67000000,57736.05000000,54558.62000000,45951.05773000,2584463474.79438830
57465.99,2024-08-08 03:19:33.631551,50038681228,806.19000000,1.42300000,56243.82990225,56663.66000000,57469.86000000,0.00030000,57469.86000000,2.81687000,57469.87000000,1.81237000,56663.67000000,57736.05000000,54558.62000000,45951.05773000,2584463474.79438830
57399.98,2024-08-08 03:20:10.83789,50038708653,717.98000000,1.26700000,56243.90047540,56682.00000000,57399.98000000,0.00037000,57399.97000000,2.91938000,57399.98000000,0.44969000,56682.00000000,57736.05000000,54558.62000000,45946.95421000,2584235919.73513750
57504.0,2024-08-08 03:25:07.612445,50038880174,772.00000000,1.36100000,56244.58343261,56732.01000000,57504.00000000,0.19116000,57503.99000000,3.25055000,57504.00000000,1.51646000,56732.00000000,57736.05000000,54558.62000000,45925.43065000,2583056715.87246300
57492.0,2024-08-08 03:30:16.470086,50039027690,796.70000000,1.40500000,56246.65623785,56695.30000000,57492.00000000,0.00014000,57492.00000000,0.51140000,57492.01000000,4.50546000,56695.30000000,57736.05000000,54558.62000000,45973.93156000,2585879924.35780900
57425.99,2024-08-08 03:14:36.958821,50038473360,626.50000000,1.10300000,56240.64029231,56809.37000000,57435.87000000,0.00110000,57435.86000000,7.33570000,57435.87000000,0.59538000,56809.37000000,57736.05000000,54558.62000000,45897.97263000,2581331368.82994600
57421.99,2024-08-08 03:15:07.397257,50038494631,617.99000000,1.08800000,56240.91304698,56804.01000000,57421.99000000,0.00244000,57421.99000000,4.24681000,57422.00000000,0.08000000,56804.00000000,57736.05000000,54558.62000000,45907.02690000,2581853108.12821250
57470.25,2024-08-08 03:19:30.801935,50038681228,806.19000000,1.42300000,56243.82990225,56663.66000000,57469.86000000,0.00030000,57469.86000000,2.81687000,57469.87000000,1.81237000,56663.67000000,57736.05000000,54558.62000000,45951.05773000,2584463474.79438830
57465.99,2024-08-08 03:19:33.631551,50038681228,806.19000000,1.42300000,56243.82990225,56663.66000000,57469.86000000,0.00030000,57469.86000000,2.81687000,57469.87000000,1.81237000,56663.67000000,57736.05000000,54558.62000000,45951.05773000,2584463474.79438830
57399.98,2024-08-08 03:20:10.83789,50038708653,717.98000000,1.26700000,56243.90047540,56682.00000000,57399.98000000,0.00037000,57399.97000000,2.91938000,57399.98000000,0.44969000,56682.00000000,57736.05000000,54558.62000000,45946.95421000,2584235919.73513750
57504.0,2024-08-08 03:25:07.612445,50038880174,772.00000000,1.36100000,56244.58343261,56732.01000000,57504.00000000,0.19116000,57503.99000000,3.25055000,57504.00000000,1.51646000,56732.00000000,57736.05000000,54558.62000000,45925.43065000,2583056715.87246300
57492.0,2024-08-08 03:30:16.470086,50039027690,796.70000000,1.40500000,56246.65623785,56695.30000000,57492.00000000,0.00014000,57492.00000000,0.51140000,57492.01000000,4.50546000,56695.30000000,57736.05000000,54558.62000000,45973.93156000,2585879924.35780900
57425.99,2024-08-08 03:14:36.958821,50038473360,626.50000000,1.10300000,56240.64029231,56809.37000000,57435.87000000,0.00110000,57435.86000000,7.33570000,57435.87000000,0.59538000,56809.37000000,57736.05000000,54558.62000000,45897.97263000,2581331368.82994600
57421.99,2024-08-08 03:15:07.397257,50038494631,617.99000000,1.08800000,56240.91304698,56804.01000000,57421.99000000,0.00244000,57421.99000000,4.24681000,57422.00000000,0.08000000,56804.00000000,57736.05000000,54558.62000000,45907.02690000,2581853108.12821250
